pid,tests,found,agree,no_majority,no_variant_output,put_fail,tp_count,fp_count,oracle_wrong_count,canonical_fail_count,precision,category,report,detail_csv
p03272,74,1,73,0,0,0,1,0,0,0,1.0,high_quality_tp,/data/bc/MyCatcher/outputs/tcases/cpp/p03272/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p03272/detail.csv
p03282,142,0,0,142,0,0,0,0,14,10,,no_detection,/data/bc/MyCatcher/outputs/tcases/cpp/p03282/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p03282/detail.csv
p03284,85,8,62,14,1,0,4,4,13,1,0.5,high_fp,/data/bc/MyCatcher/outputs/tcases/cpp/p03284/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p03284/detail.csv
p03285,58,9,49,0,0,0,9,0,0,0,1.0,high_quality_tp,/data/bc/MyCatcher/outputs/tcases/cpp/p03285/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p03285/detail.csv
p03290,155,0,0,155,0,0,0,0,29,0,,no_detection,/data/bc/MyCatcher/outputs/tcases/cpp/p03290/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p03290/detail.csv
p03292,122,16,106,0,0,0,16,0,0,0,1.0,high_quality_tp,/data/bc/MyCatcher/outputs/tcases/cpp/p03292/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p03292/detail.csv
p03296,114,0,113,1,0,0,0,0,0,0,,all_agree,/data/bc/MyCatcher/outputs/tcases/cpp/p03296/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p03296/detail.csv
p03313,106,0,40,66,0,0,0,0,78,0,,no_detection,/data/bc/MyCatcher/outputs/tcases/cpp/p03313/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p03313/detail.csv
p03314,76,0,1,75,0,0,0,0,66,0,,no_detection,/data/bc/MyCatcher/outputs/tcases/cpp/p03314/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p03314/detail.csv
p03322,139,12,0,126,0,1,0,12,130,0,0.0,high_fp,/data/bc/MyCatcher/outputs/tcases/cpp/p03322/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p03322/detail.csv
p03323,70,22,48,0,0,0,22,0,0,0,1.0,high_quality_tp,/data/bc/MyCatcher/outputs/tcases/cpp/p03323/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p03323/detail.csv
