pid,canonical_fail_count,compile_ok,runtime_fail_count,timeout_count,empty_output_count,compare_issue_suspected,notes
p03403,0,,0,0,0,False,
p03406,0,,0,0,0,False,
p03408,0,,0,0,0,False,
p03421,0,,0,0,0,False,
p03424,0,,0,0,0,False,
p03427,0,,0,0,0,False,
p03431,0,,0,0,0,False,
p03434,0,,0,0,0,False,
p03435,0,,0,0,0,False,
p03452,0,,0,0,0,False,
p03456,0,,0,0,0,False,
p03458,0,,0,0,0,False,
p03462,0,,0,0,0,False,
p03469,2,,2,0,0,False,top_error=Program failed: /data/bc/MyCatcher/AC/p03469/ac_sol.cpp
p03475,0,,0,0,0,False,
p03484,1,,1,0,0,False,top_error=Program failed: /data/bc/MyCatcher/AC/p03484/ac_sol.cpp
p03492,7,,7,0,0,False,top_error=Program failed: /data/bc/MyCatcher/AC/p03492/ac_sol.cpp
p03494,0,,0,0,0,False,
p03497,2,,2,0,0,False,top_error=Program failed: /data/bc/MyCatcher/AC/p03497/ac_sol.cpp
p03500,0,,0,0,0,False,
p03503,0,,0,0,0,False,
p03543,0,,0,0,0,False,
p03544,0,,0,0,0,False,
p03546,0,,0,0,0,False,
p03553,0,,0,0,0,False,
p03558,0,,0,0,0,False,
p03561,0,,0,0,0,False,
p03562,0,,0,0,0,False,
p03565,0,,0,0,0,False,
p03573,0,,0,0,0,False,
p03574,0,,0,0,0,False,
p03575,0,,0,0,0,False,
p03604,0,,0,0,0,False,
p03608,8,,8,0,0,False,top_error=Program failed: /data/bc/MyCatcher/AC/p03608/ac_sol.cpp
p03613,3,,2,1,0,False,top_error=Program failed: /data/bc/MyCatcher/AC/p03613/ac_sol.cpp
p03616,0,,0,0,1,False,
p03620,0,,0,0,0,False,
p03625,0,,0,0,0,False,
p03629,0,,0,0,0,False,
p03630,0,,0,0,0,False,
p03642,2,,1,1,0,False,top_error=Command '['/data/bc/MyCatcher/build/cpp_bin/ac_sol_8f18be52aca58a3d']' timed out after 2.0 seconds
p03647,4,,4,0,0,False,top_error=Program failed: /data/bc/MyCatcher/AC/p03647/ac_sol.cpp
p03652,0,,0,0,0,False,
p03664,1,,0,1,0,False,top_error=Command '['/data/bc/MyCatcher/build/cpp_bin/ac_sol_2667d42ad35f11b2']' timed out after 2.0 seconds
p03665,0,,0,0,0,False,
p03679,0,,0,0,0,False,
p03684,0,,0,0,0,False,
p03695,0,,0,0,0,False,
p03703,0,,0,0,0,False,
p03705,0,,0,0,0,False,
p03713,0,,0,0,0,False,
p03718,0,,0,0,0,False,
p03719,0,,0,0,0,False,
p03722,0,,0,0,0,False,
p03723,0,,0,0,0,False,
p03725,0,,0,0,0,False,
p03730,0,,0,0,0,False,
p03734,0,,0,0,0,False,
p03750,52,,0,52,0,False,top_error=Command '['/data/bc/MyCatcher/build/cpp_bin/ac_sol_acd3cb2837f9ba4f']' timed out after 2.0 seconds
p03765,0,,0,0,0,False,
p03768,3,,3,0,0,False,top_error=Program failed: /data/bc/MyCatcher/AC/p03768/ac_sol.cpp
p03770,0,,0,0,0,False,
p03771,0,,0,0,0,False,
p03774,0,,0,0,0,False,
p03775,0,,0,0,0,False,
p03778,0,,0,0,0,False,
p03788,0,,0,0,0,False,
p03799,0,,0,0,0,False,
p03802,0,,0,0,0,False,
p03803,0,,0,0,0,False,
p03804,10,,10,0,0,False,top_error=Program failed: /data/bc/MyCatcher/AC/p03804/ac_sol.cpp
p03806,0,,0,0,0,False,
p03816,0,,0,0,0,False,
p03824,0,,0,0,0,False,
p03825,0,,0,0,0,False,
p03828,0,,0,0,0,False,
p03843,1,,1,0,0,False,top_error=Program failed: /data/bc/MyCatcher/AC/p03843/ac_sol.cpp
p03845,0,,0,0,0,False,
p03846,0,,0,0,0,False,
p03849,0,,0,0,0,False,
