pid,tests,saved,status_AGREE,status_FOUND,status_NO_MAJORITY,status_NO_VARIANT_OUTPUT,status_PUT_FAIL,label_TP,label_FP,label_NOT_FOUND,label_CANONICAL_FAIL,label_NO_ORACLE,label_PUT_FAIL,tp_count,fp_count,oracle_wrong_count,canonical_fail_count,precision,report
p03078,158,14,121,14,0,0,23,4,0,16,0,0,0,14,0,0,0,1.0,/data/bc/MyCatcher/outputs/tcases/cpp/p03078/report.txt
p03087,170,133,37,133,0,0,0,35,0,23,0,0,0,132,1,1,0,0.992481,/data/bc/MyCatcher/outputs/tcases/cpp/p03087/report.txt
p03088,20,0,0,0,20,0,0,0,0,20,0,0,0,0,0,0,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p03088/report.txt
p03089,115,24,59,24,32,0,0,0,0,59,0,0,0,12,12,36,0,0.5,/data/bc/MyCatcher/outputs/tcases/cpp/p03089/report.txt
p03100,43,0,0,0,43,0,0,0,0,2,0,0,0,0,0,39,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p03100/report.txt
p03112,144,25,18,25,101,0,0,8,0,14,0,0,0,21,4,47,0,0.84,/data/bc/MyCatcher/outputs/tcases/cpp/p03112/report.txt
p03126,115,9,106,9,0,0,0,0,7,94,14,0,0,0,7,7,14,0.0,/data/bc/MyCatcher/outputs/tcases/cpp/p03126/report.txt
p03146,45,2,43,2,0,0,0,2,0,43,0,0,0,2,0,0,0,1.0,/data/bc/MyCatcher/outputs/tcases/cpp/p03146/report.txt
p03148,127,0,46,0,81,0,0,0,0,127,0,0,0,0,0,29,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p03148/report.txt
p03191,121,3,1,3,117,0,0,0,3,111,7,0,0,0,3,113,7,0.0,/data/bc/MyCatcher/outputs/tcases/cpp/p03191/report.txt
p03202,101,38,7,38,56,0,0,0,37,58,6,0,0,0,37,80,6,0.0,/data/bc/MyCatcher/outputs/tcases/cpp/p03202/report.txt
p03203,134,9,4,9,121,0,0,0,9,125,0,0,0,0,9,121,0,0.0,/data/bc/MyCatcher/outputs/tcases/cpp/p03203/report.txt
p03213,24,5,9,5,10,0,0,0,5,19,0,0,0,0,5,15,0,0.0,/data/bc/MyCatcher/outputs/tcases/cpp/p03213/report.txt
p03235,101,27,36,27,37,0,1,0,27,72,2,0,0,0,27,93,2,0.0,/data/bc/MyCatcher/outputs/tcases/cpp/p03235/report.txt
p03239,138,4,131,4,3,0,0,4,0,134,0,0,0,4,0,3,0,1.0,/data/bc/MyCatcher/outputs/tcases/cpp/p03239/report.txt
