pid,status,tests_dir_size,variants_dir_size,variants_used,saved,found,agree,no_majority,tp_count,fp_count,precision,oracle_wrong_count,canonical_fail_count,summary_json,report_txt,detail_csv
p02996,ok,170,10,10,1,1,169,0,1,0,1.0,0,0,outputs/tcases/cpp/p02996/summary.json,outputs/tcases/cpp/p02996/report.txt,outputs/tcases/cpp/p02996/detail.csv
p02998,ok,112,10,10,0,0,30,82,0,0,,64,0,outputs/tcases/cpp/p02998/summary.json,outputs/tcases/cpp/p02998/report.txt,outputs/tcases/cpp/p02998/detail.csv
p03000,ok,133,10,10,66,66,67,0,66,0,1.0,0,0,outputs/tcases/cpp/p03000/summary.json,outputs/tcases/cpp/p03000/report.txt,outputs/tcases/cpp/p03000/detail.csv
p03013,ok,87,10,10,0,0,0,87,0,0,,4,0,outputs/tcases/cpp/p03013/summary.json,outputs/tcases/cpp/p03013/report.txt,outputs/tcases/cpp/p03013/detail.csv
p03014,ok,146,10,10,7,7,137,2,7,0,1.0,2,0,outputs/tcases/cpp/p03014/summary.json,outputs/tcases/cpp/p03014/report.txt,outputs/tcases/cpp/p03014/detail.csv
p03017,ok,167,10,10,17,17,121,29,8,9,0.47058823529411764,32,1,outputs/tcases/cpp/p03017/summary.json,outputs/tcases/cpp/p03017/report.txt,outputs/tcases/cpp/p03017/detail.csv
p03019,ok,128,10,10,14,14,0,114,0,14,0.0,128,0,outputs/tcases/cpp/p03019/summary.json,outputs/tcases/cpp/p03019/report.txt,outputs/tcases/cpp/p03019/detail.csv
p03031,ok,128,10,10,2,2,126,0,2,0,1.0,0,0,outputs/tcases/cpp/p03031/summary.json,outputs/tcases/cpp/p03031/report.txt,outputs/tcases/cpp/p03031/detail.csv
p03032,ok,136,10,10,7,7,67,62,7,0,1.0,5,0,outputs/tcases/cpp/p03032/summary.json,outputs/tcases/cpp/p03032/report.txt,outputs/tcases/cpp/p03032/detail.csv
p03039,ok,86,10,10,0,0,0,86,0,0,,85,0,outputs/tcases/cpp/p03039/summary.json,outputs/tcases/cpp/p03039/report.txt,outputs/tcases/cpp/p03039/detail.csv
p03042,ok,82,10,10,3,3,79,0,3,0,1.0,0,0,outputs/tcases/cpp/p03042/summary.json,outputs/tcases/cpp/p03042/report.txt,outputs/tcases/cpp/p03042/detail.csv
p03045,ok,156,10,10,0,0,7,149,0,0,,88,0,outputs/tcases/cpp/p03045/summary.json,outputs/tcases/cpp/p03045/report.txt,outputs/tcases/cpp/p03045/detail.csv
p03053,ok,131,10,10,13,13,116,2,13,0,1.0,2,0,outputs/tcases/cpp/p03053/summary.json,outputs/tcases/cpp/p03053/report.txt,outputs/tcases/cpp/p03053/detail.csv
p03056,ok,146,10,10,1,1,14,131,1,0,1.0,94,0,outputs/tcases/cpp/p03056/summary.json,outputs/tcases/cpp/p03056/report.txt,outputs/tcases/cpp/p03056/detail.csv
p03073,ok,89,10,10,53,53,36,0,0,53,0.0,53,0,outputs/tcases/cpp/p03073/summary.json,outputs/tcases/cpp/p03073/report.txt,outputs/tcases/cpp/p03073/detail.csv
p03074,ok,135,10,10,8,8,2,125,0,7,0.0,120,1,outputs/tcases/cpp/p03074/summary.json,outputs/tcases/cpp/p03074/report.txt,outputs/tcases/cpp/p03074/detail.csv
p03076,ok,111,10,10,0,0,0,105,0,0,,91,0,outputs/tcases/cpp/p03076/summary.json,outputs/tcases/cpp/p03076/report.txt,outputs/tcases/cpp/p03076/detail.csv
p03078,ok,158,10,10,14,14,121,0,14,0,1.0,0,0,outputs/tcases/cpp/p03078/summary.json,outputs/tcases/cpp/p03078/report.txt,outputs/tcases/cpp/p03078/detail.csv
