pid,tests,saved,status_AGREE,status_FOUND,status_NO_MAJORITY,status_NO_VARIANT_OUTPUT,status_PUT_FAIL,label_TP,label_FP,label_NOT_FOUND,label_CANONICAL_FAIL,label_NO_ORACLE,label_PUT_FAIL,tp_count,fp_count,oracle_wrong_count,canonical_fail_count,precision,fixed_found,fixed_no_majority,fixed_tp_count,fixed_fp_count,fixed_precision,fixed_agree,fixed_no_variant_output,fixed_put_fail,report
p03843,61,0,0,0,61,0,0,0,0,61,0,0,0,0,0,61,0,0,0,61,0,0,0,0,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p03843/report.txt
p03845,99,0,99,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,99,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p03845/report.txt
p03846,14,4,8,4,2,0,0,0,4,10,0,0,0,0,4,5,0,0.0,4,2,0,4,0.0,8,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p03846/report.txt
p03849,100,0,0,0,100,0,0,0,0,100,0,0,0,0,0,74,0,0,0,100,0,0,0,0,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p03849/report.txt
p03853,100,6,93,6,0,0,1,0,0,0,0,0,0,6,0,0,0,1.0,6,0,6,0,1.0,93,0,1,/data/bc/MyCatcher/outputs/tcases/cpp/p03853/report.txt
p03854,100,1,99,1,0,0,0,1,0,99,0,0,0,1,0,0,0,1.0,1,2,1,0,1.0,97,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p03854/report.txt
p03858,100,5,12,5,83,0,0,0,5,95,0,0,0,0,5,63,0,0.0,3,86,0,3,0.0,11,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p03858/report.txt
p03862,100,2,98,2,0,0,0,1,1,98,0,0,0,1,1,1,0,0.5,2,0,1,1,0.5,98,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p03862/report.txt
p03940,98,0,0,0,98,0,0,0,0,97,1,0,0,0,0,93,1,0,0,98,0,0,0,0,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p03940/report.txt
p03944,100,1,93,1,6,0,0,1,0,99,0,0,0,1,0,4,0,1.0,1,6,1,0,1.0,93,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p03944/report.txt
p03951,100,0,0,0,100,0,0,0,0,99,1,0,0,0,0,11,1,0,0,100,0,0,0,0,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p03951/report.txt
p03988,100,33,37,33,30,0,0,0,33,67,0,0,0,0,33,53,0,0.0,33,30,0,33,0.0,37,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p03988/report.txt
p03989,100,0,0,0,100,0,0,0,0,100,0,0,0,0,0,100,0,0,0,100,0,0,0,0,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p03989/report.txt
p03998,100,1,99,1,0,0,0,1,0,99,0,0,0,1,0,0,0,1.0,1,0,1,0,1.0,99,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p03998/report.txt
p04000,100,0,5,0,95,0,0,0,0,0,0,0,0,0,0,89,1,0,0,95,0,0,0,5,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p04000/report.txt
p04004,100,0,1,0,99,0,0,0,0,100,0,0,0,0,0,100,0,0,0,99,0,0,0,1,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p04004/report.txt
p04005,100,0,1,0,99,0,0,0,0,100,0,0,0,0,0,73,0,0,0,100,0,0,0,0,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p04005/report.txt
p04006,95,4,0,4,91,0,0,0,4,91,0,0,0,0,4,95,0,0.0,4,91,0,4,0.0,0,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p04006/report.txt
p04012,100,0,100,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p04012/report.txt
p04015,100,7,48,7,45,0,0,7,0,93,0,0,0,7,0,4,0,1.0,2,75,2,0,1.0,23,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p04015/report.txt
p04019,100,89,11,89,0,0,0,0,89,11,0,0,0,0,89,89,0,0.0,89,0,0,89,0.0,11,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p04019/report.txt
p04028,99,0,2,0,97,0,0,0,0,99,0,0,0,0,0,94,0,0,0,97,0,0,0,2,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p04028/report.txt
p04030,100,0,100,0,0,0,0,0,0,96,0,4,0,0,0,0,0,0,0,0,0,0,0,100,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p04030/report.txt
p04043,100,16,84,16,0,0,0,7,9,84,0,0,0,7,9,9,0,0.4375,16,0,7,9,0.4375,84,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p04043/report.txt
p04047,100,0,100,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p04047/report.txt
p04051,96,0,0,0,96,0,0,0,0,96,0,0,0,0,0,96,0,0,0,96,0,0,0,0,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p04051/report.txt
TOTAL,23419,3681,8395,3681,10646,543,154,1273,1923,16931,47,637,96,1384,2240,10273,58,0.3818984547461369,3062,11810,1352,1672,0.4470899470899471,7852,543,152,
